ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,backers,outcome
2631,"The Veil: Cyberpunk RPG","Tabletop Games",CA,"2016-04-25 00:00:00","2016-05-27 00:00:00",5906.27,16163.99,CAD,665,successful
1893,"Paragon Bicycle® Playing Cards","Playing Cards",GB,"2015-03-20 00:00:00","2015-04-21 00:00:00",15119.44,15967.64,GBP,513,successful
8287,"Realmware Tabletop Tools","Tabletop Games",AU,"2017-10-26 00:00:00","2017-11-25 00:00:00",15146.93,15747.5,AUD,214,successful
7336,"The Spiel Season 7: Media Coverage of the Board Game World","Tabletop Games",US,"2012-07-27 00:00:00","2012-09-25 00:00:00",15000,15675,USD,229,successful
11011,"HOPE CITY","Tabletop Games",US,"2016-10-01 00:00:00","2016-10-23 00:00:00",15000,15628,USD,172,successful
14705,"Star Patrol: Carrier Commander - $3 sci-fi strategy nanogame","Tabletop Games",US,"2015-09-05 00:00:00","2015-09-29 00:00:00",450,15415.1,USD,4015,successful
11393,"FRAME-WERX : AFFORDABLE MODULAR BUILDING KIT FILES","Tabletop Games",US,"2016-07-25 00:00:00","2016-08-24 00:00:00",1000,15158,USD,335,successful
11882,"Feed the Shoggoth! Card Game","Tabletop Games",US,"2014-06-16 00:00:00","2014-07-16 00:00:00",8000,15058,USD,270,successful
3943,"Pixel Glory - Pets Expansion - Pay What You Want","Tabletop Games",US,"2015-02-23 00:00:00","2015-04-24 00:00:00",1000,14976.09,USD,826,successful
520,"Eternity Dice - Prestige Edition","Tabletop Games",US,"2013-11-06 00:00:00","2013-12-01 00:00:00",2000,14851,USD,178,successful
12367,"Escape the Nightmare","Tabletop Games",GB,"2015-10-27 00:00:00","2015-11-25 00:00:00",9031.11,14729.73,GBP,649,successful
13043,"Desert Island","Tabletop Games",US,"2014-10-27 00:00:00","2014-11-26 00:00:00",10000,14692,USD,392,successful
9588,"UnTied States "Capitalists" Playing Cards (EPCC) Ember Waves","Playing Cards",US,"2015-05-09 00:00:00","2015-06-23 00:00:00",13500,14658,USD,238,successful
11178,"Infected: The board game - Tabletop magnetic strategy game","Tabletop Games",MX,"2016-12-21 00:00:00","2017-01-25 00:00:00",9475.08,14535.48,MXN,213,successful
13939,"TITLE BOUT II: The Best in Boxing Board Game Simulations!","Tabletop Games",US,"2017-10-17 00:00:00","2017-11-16 00:00:00",8000,14485,USD,185,successful
2476,"Rampunctious: The Game of Terrible Puns","Tabletop Games",IE,"2017-03-13 00:00:00","2017-04-13 00:00:00",10630.04,14354.81,EUR,379,successful
8744,"Deck of Thieves","Tabletop Games",US,"2013-02-15 00:00:00","2013-03-19 00:00:00",6000,14320,USD,702,successful
4900,"The Miskatonic School for Girls: Holiday Break Expansion","Tabletop Games",US,"2014-04-09 00:00:00","2014-04-29 00:00:00",12500,14181,USD,340,successful
4757,"Spectrum 52 & Spectrum EDGE Playing Cards U.S.P.C.C.","Playing Cards",US,"2015-02-18 00:00:00","2015-03-22 00:00:00",12500,14090.5,USD,246,successful
5557,"Trash Pandas - the card game.","Tabletop Games",US,"2017-07-06 00:00:00","2017-08-05 00:00:00",200,13612,USD,683,suspended
2209,"Dead Man's Draw - A Card Game of Risk and Reward","Tabletop Games",US,"2013-10-10 00:00:00","2013-11-09 00:00:00",16500,13348,USD,431,failed
13856,"Cthulhu Wars auf Deutsch (Canceled)","Tabletop Games",US,"2014-12-06 00:00:00","2015-01-12 00:00:00",40000,13254,USD,96,canceled
4643,ManaSurge,"Tabletop Games",US,"2015-10-27 00:00:00","2015-11-25 00:00:00",8000,13160,USD,473,successful
645,"Vikings of Dragonia","Tabletop Games",US,"2015-05-19 00:00:00","2015-06-19 00:00:00",22000,13066,USD,226,failed
14001,"Whatever: A Party Game","Tabletop Games",US,"2017-11-17 00:00:00","2017-12-17 00:00:00",11500,12960,USD,162,successful
5535,"BOWL-A-RAMA Playing Cards","Playing Cards",US,"2015-03-12 00:00:00","2015-04-17 00:00:00",10000,12895,USD,328,successful
2870,"Realms Playing Cards","Playing Cards",HK,"2017-02-24 00:00:00","2017-03-26 00:00:00",4993.89,12803.04,HKD,295,successful
9584,"Cahoots Card Game of "Co-opetition" 3-4 Players by Jay Treat","Tabletop Games",US,"2017-10-10 00:00:00","2017-10-30 00:00:00",5000,12776,USD,707,successful
667,"Hana Signature Decks","Playing Cards",US,"2017-03-28 00:00:00","2017-03-30 00:00:00",100,12701,USD,101,successful
13549,"Cowboys Rebranded","Tabletop Games",US,"2017-10-24 00:00:00","2017-11-07 00:00:00",20000,12650,USD,162,failed
6556,"Pulp Alley's Lost World of Lemuria","Tabletop Games",US,"2017-09-07 00:00:00","2017-10-07 00:00:00",875,12508,USD,199,successful
1746,"Brothers of Iron","Tabletop Games",GB,"2013-07-23 00:00:00","2013-08-06 00:00:00",776.28,12460.8,GBP,195,successful
2110,""THE OTHER KINGDOM" Collector's Playing Cards","Playing Cards",US,"2016-04-24 00:00:00","2016-05-29 00:00:00",10000,12460,USD,296,successful
462,"Nothing To Declare","Tabletop Games",GB,"2016-11-01 00:00:00","2016-12-01 00:00:00",6942.95,12234.75,GBP,422,successful
4278,"Dice Coins","Tabletop Games",US,"2016-08-18 00:00:00","2016-09-17 00:00:00",12000,12136,USD,197,successful
803,"The Stretch Tarot - Relaunch","Playing Cards",GB,"2015-12-14 00:00:00","2016-01-13 00:00:00",4299.66,12082.04,GBP,191,successful
